title,dataset_email
California Seafloor Mapping Project - Data Access Catalog,cbretz@csumb.edu
AMBAG catalog of files,gis@ambag.org
Butte County Association of Governments: Bike Paths,blasagna@bcag.org
Private Water Districts,lpeltzlewis@mp.usbr.gov
Marin County Community Polygon,kdrumm@co.marin.ca.us
Teale Department of Water Resources,metadata@gis.resources.ca.gov
metadata-tools,""
Geothermal Power Plants,liz.johnson@conservation.ca.gov
Kelp Canopy Map Data - 1989 - California Coast,Rebecca.FloresMiller@wildlife.ca.gov
Delta Vision: Ferry,sarah_lewis@urscorp.com
Spearfish Meet Samples - Northern and Central California,Paulo.Serpa@wildlife.ca.gov
2008 Yolo County Land Use,""
Urban Limit Line,ccmap@doit.cccounty.us
Santa Cruz County Special Forest,ISD400@co.santa-cruz.ca.us
USGS 7.5 Minute Quadrangles,metadata@gis.resources.ca.gov
Delta Vision: Bridges Delta,sarah_lewis@urscorp.com
Delta Vision: Elevation,christian_raumann@urscorp.com
GNIS Dataset: Island,eric.kauffman@resources.ca.gov
large-flowered fiddleneck Final Critical Habitat,cheryl_hickam@fws.gov
Deriving Priority Landscapes for Preventing Wildfire Threat to Ecosystem Health,kelly.larvie@fire.ca.gov
GNIS Dataset: School,eric.kauffman@resources.ca.gov
Tax Parcels,gis@mono.ca.gov
GNIS Dataset: Woods,eric.kauffman@resources.ca.gov
Delta Vision: Major Diversions Delta,sarah_lewis@urscorp.com
DWR Water Data Library (WDL),Eric.Senter@water.ca.gov
GNIS Dataset: Bay,eric.kauffman@resources.ca.gov
Little Kern golden trout Final Critical Habitat,cheryl_hickam@fws.gov
Calfornia General Plans,metadata@gis.resources.ca.gov
Teale: Airports,metadata@gis.resources.ca.gov
State Water Districts,lpeltzlewis@mp.usbr.gov
State Lands Commission School Lands 2012,Michael.Bell@slc.ca.gov
Teale Air Basins,metadata@gis.resources.ca.gov
CPAD 1.4 CA Protected Areas DB,cpad@calands.org
Central Coast Vegetation,""
Butte County General Plan 2011,blasagna@bcag.org
GNIS Dataset: Cliff,eric.kauffman@resources.ca.gov
Keck's checkermallow (Sidalcea keckii) Final Critical Habitat,cheryl_hickam@fws.gov
County View - Ventura County GIS,""
CNRA Geospatial Layer Server,roger.kunkel@resources.ca.gov
GNIS Dataset: Arch,eric.kauffman@resources.ca.gov
Delta Vision: Historic Inundation Islands,sarah_lewis@urscorp.com
Fire Hazard Severity Zones,dave.sapsis@fire.ca.gov
"Wild, Scenic, and Recreational River Segments",carol_clark@fs.fed.us
New BIOS Map Viewer,ssummers@dfg.ca.gov
California Wildlife Habitat Relationships (WHR) System,mparisi@wildlife.ca.gov
Teale Map Grid,metadata@gis.resources.ca.gov
Kelp Harvest / Bed,Rebecca.FloresMiller@wildlife.ca.gov
GNIS Dataset: Well,eric.kauffman@resources.ca.gov
GNIS Dataset: Summit,eric.kauffman@resources.ca.gov
Tree Seed Zones,metadata@gis.resources.ca.gov
Teale Regional Water Quality Contol Boards,metadata@gis.resources.ca.gov
"TIGER/Line Shapefile, 2009,  county, Alameda County, CA, Current Area Hydrography Shapefile",geo.tiger@census.gov
Airports of the USA,eric.kauffman@resources.ca.gov
GNIS Dataset: Reserve,eric.kauffman@resources.ca.gov
Sacramento River Maps 1909,mulder@water.ca.gov
Santa Cruz County Sand Hill,ISD400@co.santa-cruz.ca.us
Santa Cruz County Building Inspection Areas,ISD400@co.santa-cruz.ca.us
CEC Energy Maps of California,""
Teale Government Ownership,metadata@gis.resources.ca.gov
CSMW Coastal Sediment Master Plan Spatial Data Database,Alyssa.King@usace.army.mil
Teale Health Facilities 1994,metadata@gis.resources.ca.gov
Coastal Sediment Management Workgroup Geology Map Service,""
Kelp Canopy Map Data - 1999 - California Coast,Paulo.Serpa@wildlife.ca.gov
Delta Vision: Parks,sarah_lewis@urscorp.com
Fish and Game Code,webmaster@wildlife.ca.gov
California Transmission Lines - Substations,Jacque.Gilbreath@energy.ca.gov
