id,keep,otech,private,title
498,t,f,f,A District Runs Through It Lower Clear Creek Case Study 2005
499,t,f,f,American River Basin Integrated Regional Water Management Plan Report
500,t,f,f,Anadromous Fishes of California Report
501,t,f,f,Anadromous Fish Restoration Program Adaptive Management Forum Final Report 2004
502,t,f,f,Anadromous Fish Restoration Project Final Plan
503,t,f,f,Archaeological Investigations Saeltzer Dam Project 2000
504,t,f,f,Backbone Ridge Defensible Fuel Profile Zone
505,t,f,f,Battle Creek Salmon and Steelhead Restoration Mapping
831,t,f,f,Anacapa GIS Website
837,f,t,f,AMBAG Region Transportation Analysis Zones
863,f,f,t,1:1200 DPI Reso...rubbersheeted into system
864,t,f,t,City Limits
864,t,f,t,City Limits
865,f,f,t,Contours
866,f,f,t,Correct City Land Use and Zoning Codes
867,t,f,t,FEMA Flood Zones
868,t,f,t,Geology
869,t,f,t,"Lakes, Creeks, Bay"
870,f,f,t,Neighborhood Associations
871,f,f,t,Parcel/Property Lines with Public Right of Way and Assessor Data from County
872,f,f,t,"Paved Surfaces, Right of Way"
873,f,f,t,Police Beats
874,f,f,t,Redevelopment Area
875,t,f,t,Trails
876,t,f,t,"Water (Belmont Water District), Sewer, Storm"
879,t,f,t,Boating and Waterways Commission Approves Projects
880,t,f,t,Department of Boating and Waterways WWW Homepage
881,t,f,t,Boating Safety Advisory Committee to Meet
882,t,f,t,Cal Boating Appoints Boating Safety Advisory Committee
883,t,f,t,Economic Impact of Boating in California
884,t,f,t,Montezuma Boat Lock Maintenance Channel Open
885,t,f,t,New Life Jacket Law Becomes Effective January 1st
886,t,f,t,USCGAux and USPS Boating Safety Classes
979,t,f,t,1996 Recirculated Draft Environmental Impact Report for the Bolsa Chica Project
980,t,f,t,1996 Recirculated Draft Environmental Impact Report for the Bolsa Chica Project---Modify
981,t,f,t,"A Determination of the Geographical Extent of Waters of The United States At Bolsa Chica, Orange County, California"
982,t,f,t,Analysis of the Stability of a Tidal inlet at Bolsa Chica
983,t,f,t,An Environmental Evaluation of the Bolsa Chica Area
984,t,f,t,"An investigation of  Potential Salt Water intrusion From Inland Waterways in the Shallow Alluvial and Coastal Deposits of Sunset and Bolsa Gaps, Orange County, California
"
985,t,f,t,Archaeological Sites in Bolsa Chica
986,t,f,t,A Report on the Presence of Wetland and Other Aquatic Habitats Within the Bolsa Chica Lowlands
987,t,f,t,Bolsa Bay-A Conceptual Plan for Resources and Recreation
988,t,f,t,"Bolsa Bay, California Proposed Ocean Entrance Study System-Physical Model"
989,t,f,t,"Bolsa Bay, California Proposed Ocean Entrance Study System-Tidal Circulation and Transport Computer Simulation, and Water Quality Assessment"
990,t,f,t,"Bolsa Chica 1
"
991,t,f,t,"Bolsa Chica:  A Beach, An Ocean, A Future"
992,t,f,t,"Bolsa Chica Annexation EIR
"
993,t,f,t,Bolsa Chica Annexation: Environmental Assessment
994,t,f,t,Bolsa Chica:  A Public Wetland
