off topic,in_atlas,groupname,title,keywords,topics,date,originator,publisher,links,Still Public?,Dataset Email,Group,Agency
,t,1947 Sacramento River Aerial Photographs,1947 Sacramento River Aerial Photographs,sacramento river river aerials historic,Inland Waters Aerial photographs Rivers Imagery Imagery-Base Maps-Land Cover Inland Waters,9/15/2011,,Sacramento River Conservation Area Forum,http://projects.atlas.ca.gov/frs/download.php/3462/1947_imagery_index.zip https://projects.atlas.ca.gov/frs/download.php/3462/1947_imagery_index.zip ,TRUE,rirwin@water.ca.gov,1947 Sacramento River Aerial Photographs,Sacramento River Conservation Area Forum
,t,1958 Aerial Photo Mosaics,1958 California Aerial Photo Mosaics,usda  photo mosaics geospatial aerial photos,Imagery Planning & Cadastre Imagery-Base Maps-Land Cover Land use Land cover Planning & Development,12/6/2010,,USDA,http://projects.atlas.ca.gov/frs/download.php/1673/1958_index.zip https://projects.atlas.ca.gov/frs/download.php/1673/1958_index.zip ,TRUE,,1958 Aerial Photo Mosaics,
,t,1964 Sacramento River Aerial Photography,1964 Sacramento River Aerial Photography,aerial imagery geographic information georeferenced photos,Imagery Imagery-Base Maps-Land Cover Remotely sensed Inland Waters Base Maps Delta Land cover Inland Waters Rivers,9/20/2011,,Sacramento River Conservation Area Forum,http://projects.atlas.ca.gov/frs/download.php/3603/AAX-1EE-114.zip https://projects.atlas.ca.gov/frs/download.php/3604/AAX-1EE-116.zip http://projects.atlas.ca.gov/frs/download.php/3602/AAX-1EE-113.zip http://projects.atlas.ca.gov/frs/download.php/3589/AAW-1EE-105.zip http://projects.atlas.ca.gov/frs/download.php/3584/AAW-1EE-91.zip http://projects.atlas.ca.gov/frs/download.php/3560/AAW-1EE-52.zip http://projects.atlas.ca.gov/frs/download.php/3611/AAX-1EE-123.zip https://projects.atlas.ca.gov/frs/download.php/3614/AAY-1EE-131.zip http://projects.atlas.ca.gov/frs/download.php/3579/AAW-1EE-84.zip http://projects.atlas.ca.gov/frs/download.php/3555/AAW-1EE-43.zip http://projects.atlas.ca.gov/frs/download.php/3615/AAY-1EE-132.zip https://projects.atlas.ca.gov/frs/download.php/3615/AAY-1EE-132.zip http://projects.atlas.ca.gov/frs/download.php/3591/AAX-1EE-53b.zip https://projects.atlas.ca.gov/frs/download.php/3584/AAW-1EE-91.zip http://projects.atlas.ca.gov/frs/download.php/3600/AAX-1EE-111.zip https://projects.atlas.ca.gov/frs/download.php/3598/AAX-1EE-79.zip http://projects.atlas.ca.gov/frs/download.php/3617/AAY-1EE-137.zip https://projects.atlas.ca.gov/frs/download.php/3613/AAY-1EE-130.zip http://projects.atlas.ca.gov/frs/download.php/3572/AAW-1EE-77.zip https://projects.atlas.ca.gov/frs/download.php/3622/AAY-1EE-142.zip http://projects.atlas.ca.gov/frs/download.php/3582/AAW-1EE-89.zip https://projects.atlas.ca.gov/frs/download.php/3621/AAY-2EE-8.zip http://projects.atlas.ca.gov/frs/download.php/3604/AAX-1EE-116.zip https://projects.atlas.ca.gov/frs/download.php/3616/AAY-1EE-136.zip http://projects.atlas.ca.gov/frs/download.php/3606/AAX-1EE-118.zip https://projects.atlas.ca.gov/frs/download.php/3591/AAX-1EE-53b.zip http://projects.atlas.ca.gov/frs/download.php/3576/AAW-1EE-81.zip https://projects.atlas.ca.gov/frs/download.php/3627/AAY-2EE-13.zip http://projects.atlas.ca.gov/frs/download.php/3565/AAW-1EE-70.zip https://projects.atlas.ca.gov/frs/download.php/3580/AAW-1EE-86.zip http://projects.atlas.ca.gov/frs/download.php/3597/AAX-1EE-77.zip https://projects.atlas.ca.gov/frs/download.php/3563/AAW-1EE-55b.zip http://projects.atlas.ca.gov/frs/download.php/3581/AAW-1EE-85.zip https://projects.atlas.ca.gov/frs/download.php/3612/AAY-1EE-128.zip http://projects.atlas.ca.gov/frs/download.php/3610/AAX-1EE-122.zip https://projects.atlas.ca.gov/frs/download.php/3608/AAX-1EE-120.zip http://projects.atlas.ca.gov/frs/download.php/3580/AAW-1EE-86.zip https://projects.atlas.ca.gov/frs/download.php/3558/AAW-1EE-49.zip http://projects.atlas.ca.gov/frs/download.php/3614/AAY-1EE-131.zip https://projects.atlas.ca.gov/frs/download.php/3607/AAX-1EE-119.zip http://projects.atlas.ca.gov/frs/download.php/3607/AAX-1EE-119.zip https://projects.atlas.ca.gov/frs/download.php/3573/AAW-1EE-78.zip http://projects.atlas.ca.gov/frs/download.php/3616/AAY-1EE-136.zip https://projects.atlas.ca.gov/frs/download.php/3602/AAX-1EE-113.zip http://projects.atlas.ca.gov/frs/download.php/3594/AAX-1EE-56.zip https://projects.atlas.ca.gov/frs/download.php/3572/AAW-1EE-77.zip http://projects.atlas.ca.gov/frs/download.php/3592/AAX-1EE-55.zip https://projects.atlas.ca.gov/frs/download.php/3575/AAW-1EE-80.zip http://projects.atlas.ca.gov/frs/download.php/3619/AAY-1EE-139.zip https://projects.atlas.ca.gov/frs/download.php/3568/AAW-1EE-73.zip http://projects.atlas.ca.gov/frs/download.php/3618/AAY-1EE-138.zip http://projects.atlas.ca.gov/frs/download.php/3559/AAW-1EE-51.zip http://projects.atlas.ca.gov/frs/download.php/3586/AAW-1EE-96.zip https://projects.atlas.ca.gov/frs/download.php/3587/AAW-1EE-103.zip http://projects.atlas.ca.gov/frs/download.php/3595/AAX-1EE-76.zip https://projects.atlas.ca.gov/frs/download.php/3561/AAW-1EE-54.zip http://projects.atlas.ca.gov/frs/download.php/3598/AAX-1EE-79.zip http://projects.atlas.ca.gov/frs/download.php/3563/AAW-1EE-55b.zip http://projects.atlas.ca.gov/frs/download.php/3593/AAX-1EE-54.zip http://projects.atlas.ca.gov/frs/download.php/3569/AAW-1EE-74.zip http://projects.atlas.ca.gov/frs/download.php/3601/AAX-1EE-112.zip https://projects.atlas.ca.gov/frs/download.php/3592/AAX-1EE-55.zip http://projects.atlas.ca.gov/frs/download.php/3608/AAX-1EE-120.zip https://projects.atlas.ca.gov/frs/download.php/3594/AAX-1EE-56.zip http://projects.atlas.ca.gov/frs/download.php/3609/AAX-1EE-121.zip https://projects.atlas.ca.gov/frs/download.php/3619/AAY-1EE-139.zip http://projects.atlas.ca.gov/frs/download.php/3583/AAW-1EE-90.zip https://projects.atlas.ca.gov/frs/download.php/3599/AAX-1EE-81.zip http://projects.atlas.ca.gov/frs/download.php/3596/AAX-1EE-78.zip https://projects.atlas.ca.gov/frs/download.php/3625/AAY-2EE-11.zip http://projects.atlas.ca.gov/frs/download.php/3585/AAW-1EE-95.zip https://projects.atlas.ca.gov/frs/download.php/3581/AAW-1EE-85.zip http://projects.atlas.ca.gov/frs/download.php/3605/AAX-1EE-117.zip https://projects.atlas.ca.gov/frs/download.php/3603/AAX-1EE-114.zip http://projects.atlas.ca.gov/frs/download.php/3566/AAW-1EE-71.zip https://projects.atlas.ca.gov/frs/download.php/3590/AAW-1EE-106.zip https://projects.atlas.ca.gov/frs/download.php/3555/AAW-1EE-43.zip https://projects.atlas.ca.gov/frs/download.php/3579/AAW-1EE-84.zip https://projects.atlas.ca.gov/frs/download.php/3569/AAW-1EE-74.zip https://projects.atlas.ca.gov/frs/download.php/3601/AAX-1EE-112.zip http://projects.atlas.ca.gov/frs/download.php/3587/AAW-1EE-103.zip http://projects.atlas.ca.gov/frs/download.php/3557/AAW-1EE-48.zip https://projects.atlas.ca.gov/frs/download.php/3618/AAY-1EE-138.zip http://projects.atlas.ca.gov/frs/download.php/3628/AAY-2EE-14.zip http://projects.atlas.ca.gov/frs/download.php/3578/AAW-1EE-83.zip https://projects.atlas.ca.gov/frs/download.php/3626/AAY-2EE-12.zip http://projects.atlas.ca.gov/frs/download.php/3574/AAW-1EE-79.zip https://projects.atlas.ca.gov/frs/download.php/3556/AAW-1EE-47.zip http://projects.atlas.ca.gov/frs/download.php/3571/AAW-1EE-76.zip https://projects.atlas.ca.gov/frs/download.php/3566/AAW-1EE-71.zip https://projects.atlas.ca.gov/frs/download.php/3585/AAW-1EE-95.zip https://projects.atlas.ca.gov/frs/download.php/3576/AAW-1EE-81.zip http://projects.atlas.ca.gov/frs/download.php/3577/AAW-1EE-82.zip http://projects.atlas.ca.gov/frs/download.php/3562/AAW-1EE-53.zip https://projects.atlas.ca.gov/frs/download.php/15713/AAW-1EE-71.tif http://projects.atlas.ca.gov/frs/download.php/3590/AAW-1EE-106.zip http://projects.atlas.ca.gov/frs/download.php/3556/AAW-1EE-47.zip https://projects.atlas.ca.gov/frs/download.php/3588/AAW-1EE-104.zip https://projects.atlas.ca.gov/frs/download.php/3605/AAX-1EE-117.zip https://projects.atlas.ca.gov/frs/download.php/3600/AAX-1EE-111.zip https://projects.atlas.ca.gov/frs/download.php/3609/AAX-1EE-121.zip http://projects.atlas.ca.gov/frs/download.php/3554/AAW-1EE-42.zip https://projects.atlas.ca.gov/frs/download.php/3595/AAX-1EE-76.zip https://projects.atlas.ca.gov/frs/download.php/3593/AAX-1EE-54.zip https://projects.atlas.ca.gov/frs/download.php/3565/AAW-1EE-70.zip https://projects.atlas.ca.gov/frs/download.php/3620/AAY-1EE-140.zip https://projects.atlas.ca.gov/frs/download.php/3628/AAY-2EE-14.zip https://projects.atlas.ca.gov/frs/download.php/3574/AAW-1EE-79.zip https://projects.atlas.ca.gov/frs/download.php/3583/AAW-1EE-90.zip https://projects.atlas.ca.gov/frs/download.php/3553/AAW-1EE-41.zip http://projects.atlas.ca.gov/frs/download.php/3553/AAW-1EE-41.zip https://projects.atlas.ca.gov/frs/download.php/3560/AAW-1EE-52.zip https://projects.atlas.ca.gov/frs/download.php/3596/AAX-1EE-78.zip https://projects.atlas.ca.gov/frs/download.php/3552/AAW-1EE-40.zip https://projects.atlas.ca.gov/frs/download.php/3567/AAW-1EE-72.zip http://projects.atlas.ca.gov/frs/download.php/3568/AAW-1EE-73.zip https://projects.atlas.ca.gov/frs/download.php/3623/AAY-2EE-9.zip http://projects.atlas.ca.gov/frs/download.php/3599/AAX-1EE-81.zip https://projects.atlas.ca.gov/frs/download.php/3578/AAW-1EE-83.zip https://projects.atlas.ca.gov/frs/download.php/3557/AAW-1EE-48.zip https://projects.atlas.ca.gov/frs/download.php/3586/AAW-1EE-96.zip https://projects.atlas.ca.gov/frs/download.php/3571/AAW-1EE-76.zip https://projects.atlas.ca.gov/frs/download.php/3582/AAW-1EE-89.zip http://projects.atlas.ca.gov/frs/download.php/3620/AAY-1EE-140.zip http://projects.atlas.ca.gov/frs/download.php/3624/AAY-2EE-10.zip http://projects.atlas.ca.gov/frs/download.php/3625/AAY-2EE-11.zip http://projects.atlas.ca.gov/frs/download.php/3621/AAY-2EE-8.zip http://projects.atlas.ca.gov/frs/download.php/3627/AAY-2EE-13.zip https://projects.atlas.ca.gov/frs/download.php/3559/AAW-1EE-51.zip http://projects.atlas.ca.gov/frs/download.php/3612/AAY-1EE-128.zip http://projects.atlas.ca.gov/frs/download.php/3626/AAY-2EE-12.zip http://projects.atlas.ca.gov/frs/download.php/3623/AAY-2EE-9.zip http://projects.atlas.ca.gov/frs/download.php/3622/AAY-1EE-142.zip https://projects.atlas.ca.gov/frs/download.php/3589/AAW-1EE-105.zip https://projects.atlas.ca.gov/frs/download.php/3554/AAW-1EE-42.zip http://projects.atlas.ca.gov/frs/download.php/3567/AAW-1EE-72.zip https://projects.atlas.ca.gov/frs/download.php/3562/AAW-1EE-53.zip http://projects.atlas.ca.gov/frs/download.php/3564/AAW-1EE-56.zip https://projects.atlas.ca.gov/frs/download.php/3597/AAX-1EE-77.zip http://projects.atlas.ca.gov/frs/download.php/3573/AAW-1EE-78.zip http://projects.atlas.ca.gov/frs/download.php/3558/AAW-1EE-49.zip https://projects.atlas.ca.gov/frs/download.php/3570/AAW-1EE-75.zip https://projects.atlas.ca.gov/frs/download.php/3606/AAX-1EE-118.zip http://projects.atlas.ca.gov/frs/download.php/3561/AAW-1EE-54.zip https://projects.atlas.ca.gov/frs/download.php/3611/AAX-1EE-123.zip https://projects.atlas.ca.gov/frs/download.php/3564/AAW-1EE-56.zip http://projects.atlas.ca.gov/frs/download.php/3570/AAW-1EE-75.zip http://projects.atlas.ca.gov/frs/download.php/3552/AAW-1EE-40.zip http://projects.atlas.ca.gov/frs/download.php/3613/AAY-1EE-130.zip http://projects.atlas.ca.gov/frs/download.php/3588/AAW-1EE-104.zip https://projects.atlas.ca.gov/frs/download.php/3617/AAY-1EE-137.zip https://projects.atlas.ca.gov/frs/download.php/3624/AAY-2EE-10.zip http://projects.atlas.ca.gov/frs/download.php/3575/AAW-1EE-80.zip https://projects.atlas.ca.gov/frs/download.php/3610/AAX-1EE-122.zip https://projects.atlas.ca.gov/frs/download.php/3577/AAW-1EE-82.zip ,TRUE,,1964 Sacramento River Aerial Photography,Sacramento River Conservation Area Forum
,t,1970 Sacramento River Flood Imagery,1970 Sacramento River Flood Imagery,photos mosaics aerial imagery 1970,Inland Waters Land cover Imagery-Base Maps-Land Cover Base Maps Imagery Rivers,9/15/2011,,California Department of Water Resources California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/3519/Mosaic_C_and_F.docx https://projects.atlas.ca.gov/frs/download.php/3519/Mosaic_C_and_F.docx ,TRUE,,1970 Sacramento River Flood Imagery,California Department of Water Resources
,t,1974 Sacramento River Aerial Photography,1974 Sacramento River Aerial Photography,historical historic aerial imagery sacriver1974 photos 1974,Land cover Base Maps Inland Waters Remotely sensed Imagery-Base Maps-Land Cover Imagery,2/8/2012,,Sacramento River Conservation Area Forum,http://projects.atlas.ca.gov/frs/download.php/3769/1974_sample_map.pdf https://projects.atlas.ca.gov/frs/download.php/3769/1974_sample_map.pdf http://projects.atlas.ca.gov/frs/download.php/3770/1974_imagery_index.zip https://projects.atlas.ca.gov/frs/download.php/3770/1974_imagery_index.zip ,TRUE,,1974 Sacramento River Aerial Photography,Sacramento River Conservation Area Forum
,t,1974 Sacramento River Flood Imagery,1974 Sacramento River Flood Imagery - sacriver1974flo,spatial data  historic geospatial 1974,Imagery Inland Waters Imagery-Base Maps-Land Cover Remotely sensed Base Maps Aerial photographs Land cover,2/8/2012,,California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/3973/1974_flood_imagery_overview.pdf http://projects.atlas.ca.gov/frs/download.php/3975/Thumbnails_1947_flood_photography.pdf https://projects.atlas.ca.gov/frs/download.php/3973/1974_flood_imagery_overview.pdf https://projects.atlas.ca.gov/frs/download.php/3975/Thumbnails_1947_flood_photography.pdf ,TRUE,,1974 Sacramento River Flood Imagery,Sacramento River Conservation Area Forum
,f,1974 Sacramento River Flood Imagery,1974 Sacramento River Flood Imagery - Imagery files,gis flooding  historic aerial photography sacramento river spatial data,Aerial photographs Inland Waters Land cover Rivers Imagery Base Maps Remotely sensed Imagery-Base Maps-Land Cover,8/13/2012,,California Natural Resources Agency,,TRUE,,1974 Sacramento River Flood Imagery,Sacramento River Conservation Area Forum
,t,2007 Sacramento River Aerial Photography,2007 Sacramento River Aerial Photography: Index of image aerial extents,aerial imagery 2007 extents georeferenced index,Imagery Base Maps Inland Waters Remotely sensed Imagery-Base Maps-Land Cover Aerial photographs Land cover,9/15/2011,,California Natural Resources Agency,https://projects.atlas.ca.gov/frs/download.php/3539/2007_imagery_index.zip http://projects.atlas.ca.gov/frs/download.php/3539/2007_imagery_index.zip ,TRUE,,2007 Sacramento River Aerial Photography,
,f,Anacapa GIS,Anacapa GIS Website,flood zones city boundaries geoscientificinformation census districts inlandwaters city limits land people petroleum pipelines watersheds,Rivers Hydrology Boundaries Geology Environment Hospitals Society,1/1/2010,Paul Van Zuyle,,http://www.anacapagis.org/ ,TRUE,vanzuyle@visto.com,Anacapa GIS,Anacapa GIS
x,t,Association of Monterey Bay Area Governments,AMBAG Region Transportation Analysis Zones,ambag monterey san benito santa cruz taz traffic analysis zones transportation analysis zones,Demographics Elevation Transportation Society Boundaries,1/1/2010,,AMBAG,https://projects.atlas.ca.gov/frs/download.php/15371/TAZ_2010.zip ,TRUE,jadelaars@ambag.org,Association of Monterey Bay Area Governments,
